?.Name,$CrashAmount,$Churn,$Unique,$>SecurityFlaw
content/svg/content/src/DOMSVGPathSegList.cpp,2,30,11,1
js/src/liveconnect/jsj_JavaObject.c,1,0,0,1
content/svg/content/src/nsSVGValue.cpp,1,0,0,1
content/svg/content/src/nsSVGTextContentElement.cpp,1,2,2,1
xpcom/io/Base64.cpp,1,3,3,1
widget/src/windows/nsWinGesture.h,1,5,4,1
content/svg/content/src/DOMSVGAnimatedNumberList.cpp,1,7,4,1
gfx/angle/src/compiler/Types.h,1,7,4,1
layout/forms/nsIsIndexFrame.cpp,1,12,8,1
content/svg/content/src/DOMSVGNumberList.cpp,1,17,9,1
js/src/jsdbgapi.h,1,141,25,1
content/xslt/src/xslt/txVariableMap.h,0,0,0,1
layout/style/nsInspectorCSSUtils.h,0,0,0,1
layout/style/nsICSSParser.h,0,0,0,1
widget/src/windows/nsAccelerometerWin.cpp,0,0,0,1
layout/style/test/redirect-2.css,0,0,0,1
s/src/jsparse.cpp,0,0,0,1
dom/public/base/nsPIDOMWindow.h,0,0,0,1
js/src/liveconnect/jsj_JavaClass.c,0,0,0,1
js/src/liveconnect/jsj_JavaArray.c,0,0,0,1
modules/oji/src/nsCSecurityContext.h,0,0,0,1
dom/src/base/nsDOMWindowUtils.h,0,0,0,1
layout/style/nsInspectorCSSUtils.cpp,0,0,0,1
media/libogg/src/framing.c,0,0,0,1
toolkit/content/nsDragAndDrop.js,0,0,0,1
modules/oji/src/nsCSecurityContext.cpp,0,0,0,1
layout/style/test/redirect-1.css,0,0,0,1
layout/style/nsIInspectorCSSUtils.h,0,0,0,1
js/src/tests/e4x/Regress/regress-561031.js,0,0,0,1
media/libogg/src/bitwise.c,0,0,0,1
security/nss/cmd/lib/SSLerrs.h,0,1,1,1
security/nss/lib/jar/jar.h,0,1,1,1
security/nss/lib/crmf/servget.c,0,1,1,1
content/base/test/file_CrossSiteXHR_inner_data.sjs,0,1,1,1
netwerk/test/unit/test_double_content_length.js,0,1,1,1
netwerk/test/unit_ipc/test_duplicate_headers_wrap.js,0,1,1,1
netwerk/cookie/test/unit/test_bug643051.js,0,1,1,1
security/nss/lib/softoken/sdb.h,0,1,1,1
content/base/src/nsStubMutationObserver.h,0,1,1,1
content/html/content/public/nsIFrameSetElement.h,0,1,1,1
intl/uconv/tests/unit/test_bug601429.js,0,1,1,1
netwerk/test/unit/test_bug504014.js,0,1,1,1
content/base/public/nsIMutationObserver2.h,0,1,1,1
intl/uconv/src/nsCharsetConverterManager.h,0,2,2,1
js/src/jit-test/tests/basic/testBug672436.js,0,2,2,1
security/nss/cmd/pk12util/pk12util.c,0,3,2,1
js/src/xpconnect/public/nsAutoJSValHolder.h,0,3,1,1
security/nss/cmd/lib/SECerrs.h,0,3,2,1
extensions/cookie/test/unit/test_bug526789.js,0,4,1,1
media/libogg/include/ogg/ogg.h,0,4,3,1
dom/base/nsBarProps.h,0,4,3,1
media/libogg/include/ogg/os_types.h,0,4,3,1
layout/xul/base/src/tree/src/nsTreeSelection.h,0,4,3,1
netwerk/test/unit/test_duplicate_headers.js,0,4,3,1
netwerk/base/src/nsURLHelper.h,0,5,4,1
netwerk/streamconv/converters/nsIndexedToHTML.h,0,5,4,1
content/xslt/src/xslt/txGenerateIdFunctionCall.cpp,0,5,4,1
docshell/base/nsDocShellEnumerator.h,0,5,3,1
editor/composer/src/nsEditingSession.h,0,5,4,1
content/xslt/src/xslt/txExecutionState.h,0,5,4,1
intl/uconv/tests/unit/test_encode_x_mac_arabic.js,0,6,3,1
gfx/thebes/public/gfxFont.h,0,6,3,1
intl/uconv/tests/unit/test_encode_x_mac_farsi.js,0,6,3,1
browser/base/content/test/browser_homeDrop.js,0,6,1,1
intl/uconv/tests/unit/test_decode_x_mac_hebrew.js,0,6,3,1
intl/uconv/tests/unit/test_decode_x_mac_arabic.js,0,6,3,1
intl/uconv/src/nsScriptableUConv.h,0,6,3,1
intl/uconv/tests/unit/test_encode_x_mac_hebrew.js,0,6,3,1
intl/uconv/tests/unit/test_decode_x_mac_farsi.js,0,6,3,1
security/nss/cmd/strsclnt/strsclnt.c,0,7,3,1
security/nss/cmd/lib/secutil.h,0,7,3,1
layout/inspector/src/inDOMUtils.h,0,7,5,1
xpcom/glue/nsCOMArray.cpp,0,7,3,1
security/nss/lib/ssl/sslerr.h,0,7,3,1
layout/xul/base/src/tree/src/nsTreeContentView.h,0,7,6,1
content/base/src/nsNodeIterator.h,0,7,5,1
layout/generic/nsPageContentFrame.h,0,8,5,1
parser/htmlparser/public/nsIFragmentContentSink.h,0,8,4,1
content/base/public/nsIContentUtils.h,0,8,4,1
dom/base/nsPluginArray.h,0,9,6,1
security/nss/cmd/certutil/certutil.c,0,9,3,1
security/nss/cmd/tstclnt/tstclnt.c,0,9,3,1
xpcom/tests/TestStrings.cpp,0,9,5,1
toolkit/components/passwordmgr/src/nsLoginManagerPrompter.js,0,10,4,1
security/nss/cmd/lib/secutil.c,0,10,3,1
